"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2017,30750,30950,31290,31460,32490,33010,33530,33870,33870,33630,32640,31170,30780,30820,30910,31210,32680,33210,32450,33450,34380,35480,35860,36150,37330,38040,37730,36790,35070,34250,33140,31940,31230,30950,30770,30110,29680,29250,28550,27970,28270,28420,29230,30210,31360,32510,32500,31960,31920,31340,30740,30740,30970,31720,32020,31710,30770,29850,29080,27940,27290,26510,25630,24850,24090,23750,23120,22760,22470,22080,21550,18540,16850,15650,14100,14630,14000,12610,11080,10100,9110,8220,7580,6850,6060,5620,5220,4420,3740,3080,2530,1950,1510,1120,810,156930,167910,156330,163000,179210,181880,158020,145570,147490,160240,156190,149350,128380,114190,86680,62410,37810,22070,481200,512400,578300,644200,827700,1135400,1440900,741600,1569300,1902100,1870800,1805000,1739100,7910,461100,332700,131900,69500,31600,9570,1660,35.9,2383200,29240,29260,29450,29650,31000,31410,31750,32120,31530,31910,30960,29750,29260,29350,29060,29810,31160,31380,30750,31350,31800,32190,32660,33060,34170,35090,36180,35770,34980,34960,33510,32940,32770,32170,31870,31230,30660,30460,30120,29580,29720,29730,31120,32250,33350,34520,34820,33930,33800,33100,32440,32050,32560,33360,34080,33510,32810,31420,30640,29640,28730,27870,27210,26240,25530,24700,24050,23820,23170,23200,22650,19600,18100,16640,15270,16150,15620,14250,12930,11900,10950,9950,9180,8670,8150,7540,7180,6560,5720,4940,4320,3680,3110,2470,1940,148600,158710,148370,154450,163870,176990,163270,152050,156170,170160,164490,158010,135580,118940,92250,70840,46900,31950,455700,485500,548000,610100,810600,1137000,1459500,784400,1595000,1976100,1946300,1883800,1821700,15520,516700,381100,169900,99100,52200,20210,4680,38.3,2431800
2018,30530,30970,31430,31870,32010,33020,33420,33840,34160,34170,33920,32980,31560,31120,31210,31550,31870,33170,33430,32890,34000,34650,35590,36140,36540,37860,38780,38620,37850,36160,35500,34360,33030,32250,32030,31760,31120,30590,30120,29400,28740,28960,29060,29830,30760,31950,33000,32930,32330,32270,31630,30980,30870,31110,31810,32130,31730,30790,29880,29050,27970,27200,26390,25500,24770,24040,23580,22910,22510,22200,21710,21170,18180,16470,15290,13690,14160,13500,12100,10610,9590,8560,7670,7020,6320,5490,5030,4590,3860,3200,2570,2070,1560,1180,860,156810,168610,160790,162920,176920,189270,167170,152980,147350,162480,156390,153580,131830,115250,92820,64060,39160,22170,486200,517800,582800,649100,849300,1159100,1469100,751600,1600900,1944400,1912800,1847800,1781400,8230,475300,343500,135400,71300,32200,10010,1780,36.0,2430600,29000,29440,29690,30000,30130,31490,31800,32050,32370,31810,32180,31260,30060,29620,29700,29580,30390,31580,31590,31030,31780,32130,32440,33220,33730,35090,36270,37470,37080,36210,36160,34560,33950,33500,32970,32610,31890,31230,31000,30570,30010,30060,30040,31370,32500,33570,34690,34910,34000,33900,33150,32470,32100,32630,33410,34120,33530,32800,31390,30600,29660,28680,27820,27150,26140,25420,24550,23830,23580,22870,22920,22330,19290,17770,16290,14920,15790,15200,13840,12520,11460,10480,9470,8710,8180,7610,6940,6560,5910,5090,4310,3700,3100,2550,2000,148260,159520,152820,154170,163300,182120,171130,157310,153990,171080,163760,162440,139450,120260,98590,72270,48290,32100,460600,490200,552200,614800,828000,1153100,1479300,790700,1618800,2010900,1981300,1919400,1856700,15660,531600,392200,173300,101000,52700,20650,4990,38.3,2471500
2019,30650,30730,31430,31960,32390,32570,33390,33810,34210,34550,34530,34250,33390,31960,31530,31750,32080,32240,33410,33870,33320,34400,34820,35920,36510,36900,38350,39360,39320,38670,37080,36400,35230,33820,33110,32850,32600,31980,31340,30870,30120,29370,29570,29620,30300,31140,32330,33330,33210,32590,32430,31700,30990,30930,31130,31800,32090,31670,30740,29830,29020,27940,27170,26330,25490,24710,23920,23440,22730,22310,21920,21430,20800,17810,16130,14920,13310,13730,13020,11600,10140,9090,8030,7140,6480,5790,4970,4480,4000,3310,2700,2110,1680,1210,920,157170,168530,165670,163350,174970,192600,175630,159640,148980,162610,157180,156130,135950,117110,98100,66580,40880,22550,491400,523100,587400,654700,866200,1177800,1491100,760800,1627000,1982800,1951100,1886700,1819500,8610,491700,355800,140600,74000,33100,10570,1960,36.2,2474200,29000,29180,29860,30160,30490,30630,31920,32180,32430,32730,32120,32510,31600,30410,29980,30190,30100,30770,31780,31920,31340,32030,32400,32980,33790,34500,36080,37380,38420,38150,37220,37120,35370,34580,34170,33650,33240,32520,31820,31490,31020,30400,30400,30350,31620,32720,33720,34800,35050,34050,34000,33200,32470,32140,32660,33440,34170,33590,32810,31430,30630,29720,28720,27890,27160,26130,25340,24450,23700,23400,22680,22710,22060,19000,17480,16020,14620,15450,14830,13430,12110,11010,10010,9010,8250,7660,7050,6330,5910,5270,4470,3680,3090,2550,2050,148690,159890,156610,154760,162540,184530,178450,162730,153790,170340,164480,165450,144120,123020,103930,74350,50390,32210,465200,495400,556300,619900,843000,1167100,1497100,798200,1641200,2046200,2016000,1955100,1891400,15850,549100,405000,178100,103700,53300,21100,5260,38.3,2511400
2020,30400,30910,31190,32030,32480,32910,33020,33780,34220,34620,34970,34880,34630,33780,32340,31960,32210,32350,32470,33920,34480,33900,34890,35510,36820,37420,37870,39290,40360,40370,39770,38170,37430,36150,34650,34020,33630,33430,32720,32080,31560,30730,29940,30090,30110,30680,31530,32640,33600,33440,32800,32610,31790,31120,31030,31240,31890,32190,31760,30780,29880,29110,28070,27250,26450,25610,24760,23900,23390,22680,22180,21730,21230,20530,17540,15820,14590,12940,13310,12550,11120,9660,8600,7540,6650,5950,5260,4430,3930,3470,2850,2250,1710,1350,950,157010,168540,170610,162910,175600,195320,186170,165890,152440,161880,159360,157850,140760,120330,103200,69210,43560,23050,496200,528100,592700,659100,885900,1200200,1517400,772300,1658200,2028800,1996800,1932300,1865900,9110,511400,370600,147100,77900,34300,11260,2150,36.4,2524900,29070,29190,29620,30380,30670,31000,31070,32360,32600,32850,33090,32530,32880,31940,30760,30460,30640,30420,30940,32020,32220,31660,32450,33120,33920,34920,35820,37610,38820,39830,39410,38330,38080,36100,35300,34900,34300,33860,33130,32370,32010,31460,30800,30750,30650,31900,32960,33950,34950,35220,34210,34180,33400,32640,32330,32880,33660,34430,33820,33040,31700,30890,29980,28980,28140,27400,26270,25440,24510,23700,23340,22610,22600,21910,18840,17280,15800,14390,15150,14490,13050,11720,10620,9560,8550,7730,7150,6470,5740,5270,4640,3860,3130,2580,2080,148930,159880,161210,154480,163370,187000,187220,168560,155670,168990,166760,167830,149700,127320,109300,77110,53500,32360,470000,500500,561500,624500,860600,1185300,1519900,808900,1669600,2091000,2060500,1999500,1936500,16280,571100,421400,184800,107700,54200,21810,5530,38.5,2561000
2021,31130,30500,31080,31420,32200,32650,33030,33160,33890,34320,34730,35090,35010,34750,33870,32400,32050,32200,32140,32210,33610,34180,33590,34530,35100,36360,36920,37390,38840,39980,40070,39500,38020,37390,36170,34740,34030,33650,33430,32770,32150,31640,30800,29950,30160,30160,30720,31500,32650,33590,33430,32740,32550,31700,31020,30910,31100,31750,32040,31580,30610,29680,28840,27840,27000,26200,25290,24430,23570,23010,22300,21780,21290,20780,20050,17070,15390,14130,12450,12790,11990,10570,9130,8050,6990,6080,5420,4740,3910,3410,2980,2410,1840,1380,1050,156320,167060,173450,160990,171000,189500,191150,168610,154710,158620,161430,157380,143970,122500,106210,71830,46730,23560,496800,529200,593500,657800,881300,1194600,1513400,776100,1657400,2040200,2007800,1943500,1879200,9660,526800,382800,154100,82300,35500,11970,2310,36.7,2537000,29570,29180,29380,29810,30580,30810,31120,31200,32510,32710,32970,33190,32640,32990,32010,30860,30520,30610,30230,30740,31790,32020,31410,32170,32860,33650,34700,35690,37480,38770,39850,39440,38410,38170,36200,35390,35000,34360,33980,33240,32460,32080,31510,30900,30790,30660,31920,32980,33950,34950,35190,34160,34100,33290,32530,32190,32720,33480,34220,33620,32820,31440,30650,29720,28760,27900,27120,25930,25140,24200,23400,23010,22260,22240,21540,18500,16920,15450,14020,14750,14050,12600,11220,10120,9050,8040,7210,6590,5880,5150,4630,4020,3290,2600,2110,148510,158350,163790,152950,160250,180290,192080,171960,157750,164450,169280,166240,153380,130290,112460,79640,57050,32870,470700,501500,562600,623600,857500,1179700,1515200,811100,1668600,2103400,2072600,2011400,1950500,16660,588200,434800,192000,112400,55400,22500,5840,38.8,2574100
2022,30480,31080,30580,31280,31590,32300,32750,33100,33190,33950,34390,34810,35130,35090,34800,33970,32480,32080,32030,31890,32040,33370,33930,33240,34150,34610,35730,36290,36820,38280,39570,39780,39270,37860,37330,36180,34740,34020,33610,33340,32720,32120,31610,30750,29890,30100,30090,30600,31410,32550,33460,33280,32560,32400,31530,30840,30670,30880,31510,31800,31350,30400,29390,28580,27550,26730,25840,24880,24050,23180,22620,21870,21300,20820,20240,19490,16510,14860,13590,11910,12200,11380,9950,8550,7460,6360,5490,4850,4170,3350,2840,2470,1940,1460,1050,155010,165300,174220,162450,166730,181740,193810,171880,157090,154750,163230,155700,147270,124680,106840,76370,49530,24220,494500,528500,593100,657000,876600,1188400,1507400,778000,1654600,2048500,2014500,1950000,1886000,9760,541100,393800,162300,86000,36400,12200,2440,37.0,2543000,29680,29540,29280,29550,29980,30700,30920,31220,31320,32580,32790,33030,33260,32670,33030,32100,30920,30540,30440,29980,30570,31620,31760,31100,31870,32540,33320,34460,35420,37280,38660,39780,39410,38410,38190,36240,35390,35030,34340,33940,33230,32440,32030,31460,30850,30730,30600,31850,32860,33850,34830,35090,34030,33930,33110,32380,32040,32540,33280,34010,33420,32560,31190,30370,29470,28480,27580,26760,25580,24800,23860,23040,22620,21850,21850,21090,18060,16480,14990,13600,14260,13510,12030,10640,9550,8450,7460,6580,5980,5250,4530,3920,3360,2720,2070,148030,156740,164770,153980,156920,173010,194450,174930,160000,159880,170990,164240,157000,133220,113230,84220,59990,33720,469500,501600,563100,623500,853300,1173200,1508400,812100,1665400,2112300,2080200,2018700,1958300,16600,603900,446900,200400,116200,56200,22490,5890,39.1,2581800
"Table information:"
"Units:"
"0 Years: Number, Magnitude = Units"
"1 Years: Number, Magnitude = Units"
"2 Years: Number, Magnitude = Units"
"3 Years: Number, Magnitude = Units"
"4 Years: Number, Magnitude = Units"
"5 Years: Number, Magnitude = Units"
"6 Years: Number, Magnitude = Units"
"7 Years: Number, Magnitude = Units"
"8 Years: Number, Magnitude = Units"
"9 Years: Number, Magnitude = Units"
"10 Years: Number, Magnitude = Units"
"11 Years: Number, Magnitude = Units"
"12 Years: Number, Magnitude = Units"
"13 Years: Number, Magnitude = Units"
"14 Years: Number, Magnitude = Units"
"15 Years: Number, Magnitude = Units"
"16 Years: Number, Magnitude = Units"
"17 Years: Number, Magnitude = Units"
"18 Years: Number, Magnitude = Units"
"19 Years: Number, Magnitude = Units"
"20 Years: Number, Magnitude = Units"
"21 Years: Number, Magnitude = Units"
"22 Years: Number, Magnitude = Units"
"23 Years: Number, Magnitude = Units"
"24 Years: Number, Magnitude = Units"
"25 Years: Number, Magnitude = Units"
"26 Years: Number, Magnitude = Units"
"27 Years: Number, Magnitude = Units"
"28 Years: Number, Magnitude = Units"
"29 Years: Number, Magnitude = Units"
"30 Years: Number, Magnitude = Units"
"31 Years: Number, Magnitude = Units"
"32 Years: Number, Magnitude = Units"
"33 Years: Number, Magnitude = Units"
"34 Years: Number, Magnitude = Units"
"35 Years: Number, Magnitude = Units"
"36 Years: Number, Magnitude = Units"
"37 Years: Number, Magnitude = Units"
"38 Years: Number, Magnitude = Units"
"39 Years: Number, Magnitude = Units"
"40 Years: Number, Magnitude = Units"
"41 Years: Number, Magnitude = Units"
"42 Years: Number, Magnitude = Units"
"43 Years: Number, Magnitude = Units"
"44 Years: Number, Magnitude = Units"
"45 Years: Number, Magnitude = Units"
"46 Years: Number, Magnitude = Units"
"47 Years: Number, Magnitude = Units"
"48 Years: Number, Magnitude = Units"
"49 Years: Number, Magnitude = Units"
"50 Years: Number, Magnitude = Units"
"51 Years: Number, Magnitude = Units"
"52 Years: Number, Magnitude = Units"
"53 Years: Number, Magnitude = Units"
"54 Years: Number, Magnitude = Units"
"55 Years: Number, Magnitude = Units"
"56 Years: Number, Magnitude = Units"
"57 Years: Number, Magnitude = Units"
"58 Years: Number, Magnitude = Units"
"59 Years: Number, Magnitude = Units"
"60 Years: Number, Magnitude = Units"
"61 Years: Number, Magnitude = Units"
"62 Years: Number, Magnitude = Units"
"63 Years: Number, Magnitude = Units"
"64 Years: Number, Magnitude = Units"
"65 Years: Number, Magnitude = Units"
"66 Years: Number, Magnitude = Units"
"67 Years: Number, Magnitude = Units"
"68 Years: Number, Magnitude = Units"
"69 Years: Number, Magnitude = Units"
"70 Years: Number, Magnitude = Units"
"71 Years: Number, Magnitude = Units"
"72 Years: Number, Magnitude = Units"
"73 Years: Number, Magnitude = Units"
"74 Years: Number, Magnitude = Units"
"75 Years: Number, Magnitude = Units"
"76 Years: Number, Magnitude = Units"
"77 Years: Number, Magnitude = Units"
"78 Years: Number, Magnitude = Units"
"79 Years: Number, Magnitude = Units"
"80 Years: Number, Magnitude = Units"
"81 Years: Number, Magnitude = Units"
"82 Years: Number, Magnitude = Units"
"83 Years: Number, Magnitude = Units"
"84 Years: Number, Magnitude = Units"
"85 Years: Number, Magnitude = Units"
"86 Years: Number, Magnitude = Units"
"87 Years: Number, Magnitude = Units"
"88 Years: Number, Magnitude = Units"
"89 Years: Number, Magnitude = Units"
"90 Years: Number, Magnitude = Units"
"91 Years: Number, Magnitude = Units"
"92 Years: Number, Magnitude = Units"
"93 Years: Number, Magnitude = Units"
"94 Years: Number, Magnitude = Units"
"0-4 Years: Number, Magnitude = Units"
"5-9 Years: Number, Magnitude = Units"
"10-14 Years: Number, Magnitude = Units"
"15-19 Years: Number, Magnitude = Units"
"20-24 Years: Number, Magnitude = Units"
"25-29 Years: Number, Magnitude = Units"
"30-34 Years: Number, Magnitude = Units"
"35-39 Years: Number, Magnitude = Units"
"40-44 Years: Number, Magnitude = Units"
"45-49 Years: Number, Magnitude = Units"
"50-54 Years: Number, Magnitude = Units"
"55-59 Years: Number, Magnitude = Units"
"60-64 Years: Number, Magnitude = Units"
"65-69 Years: Number, Magnitude = Units"
"70-74 Years: Number, Magnitude = Units"
"75-79 Years: Number, Magnitude = Units"
"80-84 Years: Number, Magnitude = Units"
"85-89 Years: Number, Magnitude = Units"
"Under 15 Years: Number, Magnitude = Units"
"Under 16 Years: Number, Magnitude = Units"
"Under 18 Years: Number, Magnitude = Units"
"Under 20 Years: Number, Magnitude = Units"
"15-39 Years: Number, Magnitude = Units"
"15-49 Years: Number, Magnitude = Units"
"15-59 Years: Number, Magnitude = Units"
"40-64 Years: Number, Magnitude = Units"
"15-64 Years: Number, Magnitude = Units"
"15 Years and Over: Number, Magnitude = Units"
"16 Years and Over: Number, Magnitude = Units"
"18 Years and Over: Number, Magnitude = Units"
"20 Years and Over: Number, Magnitude = Units"
"90-94 Years: Number, Magnitude = Units"
"60 Years and Over: Number, Magnitude = Units"
"65 Years and Over: Number, Magnitude = Units"
"75 Years and Over: Number, Magnitude = Units"
"80 Years and Over: Number, Magnitude = Units"
"85 Years and Over: Number, Magnitude = Units"
"90 Years and Over: Number, Magnitude = Units"
"95 Years and Over: Number, Magnitude = Units"
"Median Age (Years): Year, Magnitude = Units"
"Total All Ages: Number, Magnitude = Units"
""
"Footnotes:"
"All population estimates at 30 June 2018 and beyond use the 2018-base ERP."
"Estimates flagged as provisional are subject to revision, mainly to incorporate revisions to external (international) migration estimates."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DPE058AA"
""
"Last updated:"
"0 Years: 20 February 2023 10:45am"
"1 Years: 20 February 2023 10:45am"
"2 Years: 20 February 2023 10:45am"
"3 Years: 20 February 2023 10:45am"
"4 Years: 20 February 2023 10:45am"
"5 Years: 20 February 2023 10:45am"
"6 Years: 20 February 2023 10:45am"
"7 Years: 20 February 2023 10:45am"
"8 Years: 20 February 2023 10:45am"
"9 Years: 20 February 2023 10:45am"
"10 Years: 20 February 2023 10:45am"
"11 Years: 20 February 2023 10:45am"
"12 Years: 20 February 2023 10:45am"
"13 Years: 20 February 2023 10:45am"
"14 Years: 20 February 2023 10:45am"
"15 Years: 20 February 2023 10:45am"
"16 Years: 20 February 2023 10:45am"
"17 Years: 20 February 2023 10:45am"
"18 Years: 20 February 2023 10:45am"
"19 Years: 20 February 2023 10:45am"
"20 Years: 20 February 2023 10:45am"
"21 Years: 20 February 2023 10:45am"
"22 Years: 20 February 2023 10:45am"
"23 Years: 20 February 2023 10:45am"
"24 Years: 20 February 2023 10:45am"
"25 Years: 20 February 2023 10:45am"
"26 Years: 20 February 2023 10:45am"
"27 Years: 20 February 2023 10:45am"
"28 Years: 20 February 2023 10:45am"
"29 Years: 20 February 2023 10:45am"
"30 Years: 20 February 2023 10:45am"
"31 Years: 20 February 2023 10:45am"
"32 Years: 20 February 2023 10:45am"
"33 Years: 20 February 2023 10:45am"
"34 Years: 20 February 2023 10:45am"
"35 Years: 20 February 2023 10:45am"
"36 Years: 20 February 2023 10:45am"
"37 Years: 20 February 2023 10:45am"
"38 Years: 20 February 2023 10:45am"
"39 Years: 20 February 2023 10:45am"
"40 Years: 20 February 2023 10:45am"
"41 Years: 20 February 2023 10:45am"
"42 Years: 20 February 2023 10:45am"
"43 Years: 20 February 2023 10:45am"
"44 Years: 20 February 2023 10:45am"
"45 Years: 20 February 2023 10:45am"
"46 Years: 20 February 2023 10:45am"
"47 Years: 20 February 2023 10:45am"
"48 Years: 20 February 2023 10:45am"
"49 Years: 20 February 2023 10:45am"
"50 Years: 20 February 2023 10:45am"
"51 Years: 20 February 2023 10:45am"
"52 Years: 20 February 2023 10:45am"
"53 Years: 20 February 2023 10:45am"
"54 Years: 20 February 2023 10:45am"
"55 Years: 20 February 2023 10:45am"
"56 Years: 20 February 2023 10:45am"
"57 Years: 20 February 2023 10:45am"
"58 Years: 20 February 2023 10:45am"
"59 Years: 20 February 2023 10:45am"
"60 Years: 20 February 2023 10:45am"
"61 Years: 20 February 2023 10:45am"
"62 Years: 20 February 2023 10:45am"
"63 Years: 20 February 2023 10:45am"
"64 Years: 20 February 2023 10:45am"
"65 Years: 20 February 2023 10:45am"
"66 Years: 20 February 2023 10:45am"
"67 Years: 20 February 2023 10:45am"
"68 Years: 20 February 2023 10:45am"
"69 Years: 20 February 2023 10:45am"
"70 Years: 20 February 2023 10:45am"
"71 Years: 20 February 2023 10:45am"
"72 Years: 20 February 2023 10:45am"
"73 Years: 20 February 2023 10:45am"
"74 Years: 20 February 2023 10:45am"
"75 Years: 20 February 2023 10:45am"
"76 Years: 20 February 2023 10:45am"
"77 Years: 20 February 2023 10:45am"
"78 Years: 20 February 2023 10:45am"
"79 Years: 20 February 2023 10:45am"
"80 Years: 20 February 2023 10:45am"
"81 Years: 20 February 2023 10:45am"
"82 Years: 20 February 2023 10:45am"
"83 Years: 20 February 2023 10:45am"
"84 Years: 20 February 2023 10:45am"
"85 Years: 20 February 2023 10:45am"
"86 Years: 20 February 2023 10:45am"
"87 Years: 20 February 2023 10:45am"
"88 Years: 20 February 2023 10:45am"
"89 Years: 20 February 2023 10:45am"
"90 Years: 20 February 2023 10:45am"
"91 Years: 20 February 2023 10:45am"
"92 Years: 20 February 2023 10:45am"
"93 Years: 20 February 2023 10:45am"
"94 Years: 20 February 2023 10:45am"
"0-4 Years: 20 February 2023 10:45am"
"5-9 Years: 20 February 2023 10:45am"
"10-14 Years: 20 February 2023 10:45am"
"15-19 Years: 20 February 2023 10:45am"
"20-24 Years: 20 February 2023 10:45am"
"25-29 Years: 20 February 2023 10:45am"
"30-34 Years: 20 February 2023 10:45am"
"35-39 Years: 20 February 2023 10:45am"
"40-44 Years: 20 February 2023 10:45am"
"45-49 Years: 20 February 2023 10:45am"
"50-54 Years: 20 February 2023 10:45am"
"55-59 Years: 20 February 2023 10:45am"
"60-64 Years: 20 February 2023 10:45am"
"65-69 Years: 20 February 2023 10:45am"
"70-74 Years: 20 February 2023 10:45am"
"75-79 Years: 20 February 2023 10:45am"
"80-84 Years: 20 February 2023 10:45am"
"85-89 Years: 20 February 2023 10:45am"
"Under 15 Years: 20 February 2023 10:45am"
"Under 16 Years: 20 February 2023 10:45am"
"Under 18 Years: 20 February 2023 10:45am"
"Under 20 Years: 20 February 2023 10:45am"
"15-39 Years: 20 February 2023 10:45am"
"15-49 Years: 20 February 2023 10:45am"
"15-59 Years: 20 February 2023 10:45am"
"40-64 Years: 20 February 2023 10:45am"
"15-64 Years: 20 February 2023 10:45am"
"15 Years and Over: 20 February 2023 10:45am"
"16 Years and Over: 20 February 2023 10:45am"
"18 Years and Over: 20 February 2023 10:45am"
"20 Years and Over: 20 February 2023 10:45am"
"90-94 Years: 20 February 2023 10:45am"
"60 Years and Over: 20 February 2023 10:45am"
"65 Years and Over: 20 February 2023 10:45am"
"75 Years and Over: 20 February 2023 10:45am"
"80 Years and Over: 20 February 2023 10:45am"
"85 Years and Over: 20 February 2023 10:45am"
"90 Years and Over: 20 February 2023 10:45am"
"95 Years and Over: 20 February 2023 10:45am"
"Median Age (Years): 20 February 2023 10:45am"
"Total All Ages: 20 February 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
